"Symbol","Team"
"KD","HG"
"PSTG","RB"
"TJX","HG"
"MELI","RB"
"EME","HG"
"CART","RB"
"DASH","HG"
"WING","RB"
"U","HG"
"LULU","RB"
"PGR","HG"
"GMED","RB"
"VLTO","HG"
"ONON","RB"
"SHOP","HG"
"MCK","RB"
"CELH","HG"
"GRAB","RB"
"V","HG"
"NICE","RB"
"SHOP","HG"
"ELF","RB"
"PYPL","HG"
"AMD","RB"
"NOW","HG"
"MSFT","RB"
"EQT","HG"
"RBLX","RB"
"DASH","HG"
"CPNG","RB"
"CRWD","HG"
"MELI","RB"
"TEAM","HG"
"DDOG","RB"
"SNOW","HG"
"MNST","RB"
"TFC","HG"
"DOCU","RB"
"DOCU","RB"
"ENPH","RB"
"SHOP","HG"
"VRTX","RB"
"TSLA","HG"
"VEEV","RB"
"PAYC","HG"
"RBLX","RB"
"CRWD","HG"
"ACN","RB"
"KNSL","HG"
"MASI","RB"
"NOW","HG"
"DGX","RB"
"TTD","HG"
"AMZN","RB"
"NET","HG"
"RMD","RB"
"SNOW","HG"
"CHWY","RB"
"ABNB","HG"
"TYL","RB"
"TTD","HG"
"VEEV","RB"
"ZM","HG"
"DOCS","RB"
"ZS","HG"
"ASML","RB"
"TSLA","HG"
"ADYE.Y","RB"
"TEAM","HG"
"GRMN","RB"
"UPST","HG"
"VRTX","RB"
"ABNB","HG"
"SPOT","RB"
"ROKU","RB"
"DOCN","HG"
"U","RB"
"SHOP","HG"
"SNOW","HG"
"INTU","RB"
"UPST","HG"
"PAYC","HG"
"LULU","RB"
"UPST","HG"
"AMZN","RB"
"SHOP","HG"
"TTC","RB"
"TEAM","HG"
"LRCX","RB"
"IDXX","RB"
"FVRR","HG"
"ABNB","RB"
"LMND","HG"
"LMND","HG"
"ZBRA","RB"
"FVRR","HG"
"ADSK","RB"
"BAND","RB"
"FVRR","HG"
"JD","RB"
"WIX","HG"
"ASML","RB"
"CRWD","HG"
"WEX","RB"
"CRWD","HG"
"GMED","RB"
"ZM","RB"
"SHOP","HG"
"ZM","RB"
"DXCM","RB"
"NICE","RB"
"TSLA","HG"
"ACN","RB"
"HUBS","HG"
"NFLX","RB"
"TTD","HG"
"NBIX","RB"
"ZM","HG"
"CRM","HG"
"JKHY","RB"
"TTWO","RB"
"ZM","HG"
"WM","RB"
"SNPS","RB"
"WIX","HG"
"TTWO","RB"
"TWLO","HG"
"NTDOY","RB"
"APPN","HG"
"TWLO","HG"
"MA","HG"
"ZBRA","RB"
"ZS","HG"
"AMZN","RB"
"SQ","HG"
"UNP","RB"
"SFIX","HG"
"ALK","RB"
"ANET","HG"
"SFIX","HG"
"AMGN","RB"
"WIX","HG"
"SHOP","HG"
"OKTA","RB"
"CRUS","RB"
"FICO","RB"
"VRNS","HG"
"PAYC","HG"
"OKTA","RB"
"APPN","HG"
"MTN","RB"
"CME","RB"
"TTD","HG"
"HCA","RB"
"SOLV, MMM","RB"
"ANET","HG"
"JD","RB"
"CGNX","RB"
"TXT","RB"
"PAYC","HG"
"CMG","HG"
"ODFL","RB"
"MAR","HG"
"FTNT","RB"
"TSCO","RB"
"PHIN, BWA","HG"
"NVDA","RB"
"ROL","HG"
"MA","HG"
"NKE","HG"
"PAC","RB"
"ALKS","RB"
"SBUX","HG"
"META","HG"
"MTCH","RB"
"SHOP","HG"
"TMUS","RB"
"ECL","RB"
"BRK.B","HG"
"MTCH","RB"
"ILMN","RB"
"WDAY","HG"
"GOOG","HG"
"TXRH","RB"
"NYT","RB"
"AMG","HG"
"NVO","RB"
"MAR","HG"
"UHAL","RB"
"CMG","HG"
"NDAQ","RB"
"CASY","RB"
"SPB, VTS, JEF","HG"
"RH","RB"
"META","HG"
"GXO, RXO, XPO","HG"
"RPM","RB"
"IBKR","HG"
"MKC","RB"
"BKNG","HG"
"IDXX","RB"
"CGNX","RB"
"SHW","HG"
"CBOE","RB"
"H","RB"
"UA, UAA","HG"
"TXRH","RB"
"MA","HG"
"NFLX","RB"
"MTN","RB"
"MA","HG"
"IT","HG"
"KMX","RB"
"CMG","HG"
"WSM","HG"
"INTU","RB"
"TSLA","HG"
"WAB","HG"
"DAR","RB"
"BKNG","HG"
"GOOGL, GOOG","HG"
"TDG","RB"
"LKQ","RB"
"HEI","HG"
"ULTA","HG"
"SBUX","RB"
"WSM","HG"
"CMI","RB"
"GLW","RB"
"AAPL","RB"
"COHR","RB"
"TNC","HG"
"CGNX","RB"
"AMZN","RB"
"WSO","HG"
"GILD","RB"
"WBD","RB"
"NKE","HG"
"BKNG","RB"
"WBD","HG"
"NVDA","RB"
"HAS","RB"
"DASTY","RB"
"ADBE","RB"
"IBKR","HG"
"BRK.B","HG"
"MCK","RB"
"CTAS","HG"
"ILMN","RB"
"AAPL","RB"
"CNI","RB"
"SHW","HG"
"AAPL","RB"
"NFLX","HG"
"BRK.B","HG"
"MTH","HG"
"FDX","RB"
"NFLX","RB"
"NFLX","RB"
"SBUX","RB"
"DIS","RB"
"NVDA","RB"
"NFLX","RB"
"NFLX","RB"
"BKNG","RB"
"HAS","RB"
"FDX","RB"
"BWA, PHIN","HG"
"AMZN","RB"
"COST","HG"
"PYPL, EBAY","RB"
"DIS","RB"
"DIS","RB"
"DIS","RB"
"DIS","RB"
"DIS","RB"
"SHOP","HG"
